genreID,movieID,genre
16,862,Animation
35,862,Comedy
10751,862,Family
12,8844,Adventure
14,8844,Fantasy
10751,8844,Family
10749,15602,Romance
35,15602,Comedy
35,31357,Comedy
18,31357,Drama
10749,31357,Romance
35,11862,Comedy
28,949,Action
80,949,Crime
18,949,Drama
53,949,Thriller
35,11860,Comedy
10749,11860,Romance
28,45325,Action
12,45325,Adventure
18,45325,Drama
10751,45325,Family
28,9091,Action
12,9091,Adventure
53,9091,Thriller
12,710,Adventure
28,710,Action
53,710,Thriller
35,9087,Comedy
18,9087,Drama
10749,9087,Romance
35,12110,Comedy
27,12110,Horror
10751,21032,Family
16,21032,Animation
12,21032,Adventure
36,10858,History
18,10858,Drama
28,1408,Action
12,1408,Adventure
18,524,Drama
80,524,Crime
18,4584,Drama
10749,4584,Romance
80,5,Crime
35,5,Comedy
80,9273,Crime
35,9273,Comedy
12,9273,Adventure
28,11517,Action
35,11517,Comedy
80,11517,Crime
35,8012,Comedy
53,8012,Thriller
80,8012,Crime
18,1710,Drama
53,1710,Thriller
28,9691,Action
12,9691,Adventure
80,9691,Crime
53,9691,Thriller
18,12665,Drama
14,12665,Fantasy
878,12665,Science Fiction
53,12665,Thriller
18,451,Drama
10749,451,Romance
18,16420,Drama
35,9263,Comedy
18,9263,Drama
10751,9263,Family
18,17015,Drama
10749,17015,Romance
14,902,Fantasy
878,902,Science Fiction
12,902,Adventure
18,37557,Drama
80,37557,Crime
18,9909,Drama
80,9909,Crime
878,63,Science Fiction
53,63,Thriller
9648,63,Mystery
10749,78802,Romance
12,78802,Adventure
14,9598,Fantasy
18,9598,Drama
35,9598,Comedy
10751,9598,Family
36,47018,History
18,47018,Drama
10749,47018,Romance
18,687,Drama
12,139405,Adventure
36,139405,History
18,139405,Drama
10751,139405,Family
35,33689,Comedy
10751,33689,Family
10749,33689,Romance
35,9603,Comedy
18,9603,Drama
10749,9603,Romance
18,34615,Drama
18,31174,Drama
10752,31174,War
28,11443,Action
80,11443,Crime
18,11443,Drama
36,11443,History
18,35196,Drama
10749,35196,Romance
28,9312,Action
14,9312,Fantasy
14,577,Fantasy
18,577,Drama
35,577,Comedy
53,577,Thriller
18,11861,Drama
10749,11861,Romance
80,807,Crime
9648,807,Mystery
53,807,Thriller
12,10530,Adventure
16,10530,Animation
18,10530,Drama
10751,10530,Family
18,8391,Drama
10749,8391,Romance
18,629,Drama
80,629,Crime
53,629,Thriller
28,117164,Action
53,117164,Thriller
18,117164,Drama
35,11448,Comedy
10749,11448,Romance
18,49133,Drama
10769,49133,Foreign
28,26441,Action
12,26441,Adventure
35,26441,Comedy
10751,26441,Family
18,97406,Drama
35,9089,Comedy
18,9089,Drama
10749,9089,Romance
35,11010,Comedy
18,11010,Drama
10749,11010,Romance
53,99040,Thriller
18,99040,Drama
9648,99040,Mystery
12,11359,Adventure
10751,11359,Family
14,11359,Fantasy
18,17182,Drama
53,17182,Thriller
10402,2054,Music
18,2054,Drama
10751,2054,Family
35,10607,Comedy
35,19760,Comedy
10749,19760,Romance
35,9536,Comedy
28,11525,Action
878,11525,Science Fiction
18,40628,Drama
10751,40628,Family
35,4482,Comedy
10749,4482,Romance
35,10634,Comedy
27,755,Horror
28,755,Action
53,755,Thriller
80,755,Crime
28,11859,Action
53,11859,Thriller
10749,11859,Romance
35,28387,Comedy
18,28387,Drama
10749,28387,Romance
18,48750,Drama
36,48750,History
18,20927,Drama
10749,20927,Romance
35,36929,Comedy
10751,36929,Family
27,9102,Horror
878,9102,Science Fiction
99,124626,Documentary
18,27526,Drama
53,27526,Thriller
18,9623,Drama
53,9623,Thriller
10751,46785,Family
18,46785,Drama
18,400,Drama
80,400,Crime
18,880,Drama
35,880,Comedy
10749,146599,Romance
18,146599,Drama
18,8447,Drama
10749,8447,Romance
28,10534,Action
18,10534,Drama
12,17414,Adventure
35,17414,Comedy
10751,17414,Family
35,13997,Comedy
80,2086,Crime
18,2086,Drama
53,2086,Thriller
18,61548,Drama
18,9095,Drama
27,9095,Horror
53,9095,Thriller
10749,9095,Romance
35,12158,Comedy
27,12158,Horror
10749,12158,Romance
35,9283,Comedy
18,9283,Drama
10749,9283,Romance
28,9208,Action
12,9208,Adventure
18,9208,Drama
53,9208,Thriller
35,40154,Comedy
18,406,Drama
28,45549,Action
12,45549,Adventure
18,45549,Drama
878,45549,Science Fiction
53,45549,Thriller
99,63076,Documentary
18,11062,Drama
53,11062,Thriller
35,13685,Comedy
80,13685,Crime
18,13685,Drama
35,47475,Comedy
10749,47475,Romance
18,2045,Drama
9648,2045,Mystery
878,2045,Science Fiction
53,2045,Thriller
35,9614,Comedy
18,688,Drama
10749,688,Romance
18,11907,Drama
35,11907,Comedy
10751,11907,Family
28,10874,Action
35,10874,Comedy
10402,10874,Music
10751,10874,Family
12,10874,Adventure
99,89333,Documentary
80,96357,Crime
28,197,Action
18,197,Drama
36,197,History
10752,197,War
80,103,Crime
18,103,Drama
80,33542,Crime
28,33542,Action
35,33542,Comedy
53,33542,Thriller
18,43566,Drama
53,43566,Thriller
18,71754,Drama
35,43612,Comedy
99,51352,Documentary
18,51352,Drama
10769,51352,Foreign
35,16934,Comedy
80,16934,Crime
18,16934,Drama
35,10324,Comedy
10749,10324,Romance
35,78406,Comedy
18,78406,Drama
28,55731,Action
12,55731,Adventure
35,55731,Comedy
18,55731,Drama
10751,55731,Family
18,32119,Drama
35,11066,Comedy
10749,11066,Romance
18,11104,Drama
35,11104,Comedy
10749,11104,Romance
18,37975,Drama
10749,37975,Romance
35,2074,Comedy
10749,2074,Romance
14,27793,Fantasy
18,44284,Drama
35,110972,Comedy
10749,110972,Romance
35,32622,Comedy
18,32622,Drama
18,73067,Drama
10749,73067,Romance
10752,73067,War
28,11863,Action
53,11863,Thriller
9648,11863,Mystery
10749,11863,Romance
35,55475,Comedy
18,55475,Drama
10749,55475,Romance
10402,124636,Music
99,124636,Documentary
35,9101,Comedy
99,123360,Documentary
35,5757,Comedy
18,39428,Drama
18,9302,Drama
10749,9302,Romance
35,11000,Comedy
18,249882,Drama
35,16388,Comedy
18,16388,Drama
10749,16388,Romance
28,9737,Action
35,9737,Comedy
80,9737,Crime
53,9737,Thriller
28,30765,Action
12,30765,Adventure
18,30765,Drama
10751,30765,Family
18,10474,Drama
80,10474,Crime
10749,22279,Romance
18,22279,Drama
35,22279,Comedy
80,30157,Crime
35,30157,Comedy
18,30157,Drama
53,30157,Thriller
18,568,Drama
12,11780,Adventure
18,34996,Drama
27,34996,Horror
28,414,Action
80,414,Crime
14,414,Fantasy
18,649,Drama
10749,649,Romance
18,1873,Drama
53,1873,Thriller
35,5894,Comedy
28,1775,Action
35,1775,Comedy
14,8839,Fantasy
35,8839,Comedy
10751,8839,Family
9648,20649,Mystery
80,20649,Crime
18,20649,Drama
28,10329,Action
12,10329,Adventure
18,10329,Drama
9648,10329,Mystery
878,10329,Science Fiction
53,10329,Thriller
28,8963,Action
53,8963,Thriller
18,8963,Drama
99,26564,Documentary
53,8068,Thriller
28,8068,Action
80,8068,Crime
18,8512,Drama
9648,8512,Mystery
53,8512,Thriller
28,1572,Action
53,1572,Thriller
28,13552,Action
35,13552,Comedy
80,13552,Crime
18,13552,Drama
18,259209,Drama
80,259209,Crime
28,6520,Action
12,6520,Adventure
18,6520,Drama
10749,6520,Romance
12,9073,Adventure
28,10428,Action
80,10428,Crime
53,10428,Thriller
18,10428,Drama
35,17447,Comedy
18,17447,Drama
10749,17447,Romance
12,9886,Adventure
28,9886,Action
18,9886,Drama
878,9886,Science Fiction
53,9886,Thriller
878,9482,Science Fiction
35,19326,Comedy
18,19326,Drama
18,9344,Drama
80,9344,Crime
18,9071,Drama
35,9071,Comedy
9648,8973,Mystery
27,8973,Horror
53,8973,Thriller
35,15730,Comedy
18,15730,Drama
18,47608,Drama
10751,47608,Family
10749,47608,Romance
10749,2293,Romance
35,2293,Comedy
28,9070,Action
12,9070,Adventure
878,9070,Science Fiction
10751,9070,Family
14,9070,Fantasy
35,68274,Comedy
18,68274,Drama
10749,68274,Romance
53,48787,Thriller
10769,48787,Foreign
27,34574,Horror
53,34574,Thriller
80,1642,Crime
18,1642,Drama
9648,1642,Mystery
53,1642,Thriller
28,1642,Action
35,11472,Comedy
35,36196,Comedy
14,11980,Fantasy
27,11980,Horror
53,11980,Thriller
14,58372,Fantasy
35,58372,Comedy
18,58372,Drama
18,32646,Drama
18,10533,Drama
36,10533,History
10749,10533,Romance
99,56088,Documentary
18,10802,Drama
35,10149,Comedy
18,10149,Drama
35,18402,Comedy
878,9348,Science Fiction
27,9348,Horror
28,9348,Action
18,139408,Drama
80,281,Crime
18,281,Drama
878,281,Science Fiction
53,281,Thriller
18,5967,Drama
10749,5967,Romance
53,79593,Thriller
18,47939,Drama
14,47939,Fantasy
18,36834,Drama
10749,36834,Romance
35,9090,Comedy
28,3512,Action
53,3512,Thriller
35,52856,Comedy
18,52856,Drama
10751,52856,Family
99,77350,Documentary
18,9560,Drama
10749,9560,Romance
12,9804,Adventure
28,9804,Action
18,31611,Drama
28,65796,Action
37,65796,Western
18,49805,Drama
12,26258,Adventure
28,26258,Action
35,26258,Comedy
80,26258,Crime
10751,26258,Family
18,50797,Drama
18,19155,Drama
10752,19155,War
18,76,Drama
10749,76,Romance
35,11017,Comedy
18,37141,Drama
53,37141,Thriller
35,9382,Comedy
18,9382,Drama
18,6715,Drama
10751,6715,Family
53,18256,Thriller
18,18256,Drama
27,18256,Horror
9648,18256,Mystery
18,22625,Drama
10751,22625,Family
10749,22625,Romance
35,2292,Comedy
10749,1909,Romance
18,1909,Drama
35,1909,Comedy
18,8984,Drama
53,8984,Thriller
80,8984,Crime
9648,8984,Mystery
10749,8984,Romance
53,61813,Thriller
28,4954,Action
12,4954,Adventure
53,4954,Thriller
80,62488,Crime
35,62488,Comedy
14,62488,Fantasy
18,10531,Drama
53,10531,Thriller
9648,10531,Mystery
80,11929,Crime
18,11929,Drama
9648,11929,Mystery
35,8467,Comedy
35,10451,Comedy
18,10451,Drama
10749,10451,Romance
18,20156,Drama
9648,20156,Mystery
53,18395,Thriller
35,18395,Comedy
80,18395,Crime
10749,18395,Romance
35,522,Comedy
18,522,Drama
36,522,History
35,397,Comedy
10749,397,Romance
35,10525,Comedy
18,10525,Drama
10749,10525,Romance
28,27985,Action
12,27985,Adventure
18,27985,Drama
10751,27985,Family
10749,15789,Romance
16,15789,Animation
10751,15789,Family
35,15789,Comedy
12,15789,Adventure
18,27303,Drama
53,27303,Thriller
18,21183,Drama
10751,21183,Family
14,21183,Fantasy
36,10954,History
18,10954,Drama
18,47867,Drama
10751,47867,Family
14,47867,Fantasy
14,43475,Fantasy
16,43475,Animation
878,43475,Science Fiction
10751,43475,Family
18,72031,Drama
28,72031,Action
53,72031,Thriller
80,72031,Crime
99,14275,Documentary
18,1024,Drama
14,1024,Fantasy
35,17207,Comedy
10751,17207,Family
18,13701,Drama
10402,13701,Music
10749,13701,Romance
35,14819,Comedy
10751,14819,Family
18,14819,Drama
28,32631,Action
53,32631,Thriller
35,11777,Comedy
18,11777,Drama
10749,11777,Romance
27,628,Horror
10749,628,Romance
18,87729,Drama
10749,87729,Romance
35,18713,Comedy
80,18713,Crime
35,6280,Comedy
10751,6280,Family
10749,6280,Romance
28,9061,Action
18,9061,Drama
9648,9061,Mystery
53,9061,Thriller
12,37108,Adventure
14,37108,Fantasy
35,37108,Comedy
878,37108,Science Fiction
10751,37108,Family
28,6071,Action
80,6071,Crime
18,6071,Drama
53,6071,Thriller
12,11,Adventure
28,11,Action
878,11,Science Fiction
18,9587,Drama
10749,9587,Romance
18,19101,Drama
10751,19101,Family
14,19101,Fantasy
18,49980,Drama
80,17961,Crime
18,17961,Drama
18,18183,Drama
10749,18183,Romance
12,4476,Adventure
18,4476,Drama
10749,4476,Romance
10752,4476,War
12,11008,Adventure
35,11008,Comedy
10751,11008,Family
28,47504,Action
18,47504,Drama
80,32325,Crime
18,32325,Drama
18,43742,Drama
10749,43742,Romance
18,28313,Drama
35,11318,Comedy
18,11318,Drama
36,11318,History
18,3036,Drama
27,3036,Horror
878,3036,Science Fiction
10749,3036,Romance
28,40490,Action
35,40490,Comedy
10751,40490,Family
35,24070,Comedy
18,24070,Drama
10749,24070,Romance
35,8986,Comedy
10749,8986,Romance
14,10510,Fantasy
18,10510,Drama
10751,10510,Family
35,17402,Comedy
10749,17402,Romance
35,38722,Comedy
18,38722,Drama
80,8438,Crime
18,8438,Drama
18,11593,Drama
35,11593,Comedy
18,1945,Drama
53,1945,Thriller
80,39310,Crime
