keyID,movieID,keyword
931,862,jealousy
4290,862,toy
5202,862,boy
6054,862,friendship
9713,862,friends
9823,862,rivalry
165503,862,boy next door
170722,862,new toy
187065,862,toy comes to life
10090,8844,board game
10941,8844,disappearance
15101,8844,based on children's book
33467,8844,new home
158086,8844,recluse
158091,8844,giant insect
1495,15602,fishing
12392,15602,best friend
179431,15602,duringcreditsstinger
208510,15602,old men
818,31357,based on novel
10131,31357,interracial relationship
14768,31357,single mother
15160,31357,divorce
33455,31357,chick flick
1009,11862,baby
1599,11862,midlife crisis
2246,11862,confidence
4995,11862,aging
5600,11862,daughter
10707,11862,mother daughter relationship
13149,11862,pregnancy
33358,11862,contraception
170521,11862,gynecologist
642,949,robbery
703,949,detective
974,949,bank
1523,949,obsession
3713,949,chase
7281,949,shooting
9727,949,thief
9812,949,honor
9826,949,murder
9937,949,suspense
10051,949,heist
10085,949,betrayal
10594,949,money
10726,949,gang
15076,949,cat and mouse
18023,949,criminal mastermind
34117,949,cult film
156121,949,ex-con
159343,949,heist movie
159434,949,one last job
167104,949,loner
192261,949,bank job
207268,949,neo-noir
208009,949,gun fight
214983,949,crime epic
90,11860,paris
380,11860,brother brother relationship
2072,11860,chauffeur
9398,11860,long island
9492,11860,fusion
33626,11860,millionaire
949,9091,terrorist
1562,9091,hostage
1653,9091,explosive
193533,9091,vice president
701,710,cuba
769,710,falsely accused
1308,710,secret identity
2812,710,computer virus
3268,710,secret base
3272,710,secret intelligence service
3278,710,kgb
3376,710,satellite
3531,710,special car
3560,710,cossack
3561,710,electromagnetic pulse
3562,710,time bomb
3563,710,st. petersburg russia
3564,710,ejection seat
193008,710,red army
833,9087,white house
840,9087,usa president
1605,9087,new love
33476,9087,widower
211505,9087,wildlife conservation
3633,12110,dracula
11931,12110,spoof
1994,21032,wolf
6411,21032,dog-sledding race
9880,21032,alaska
15162,21032,dog
15169,21032,goose
158175,21032,bear attack
158370,21032,dog sled
158371,21032,frozen lake
840,10858,usa president
2946,10858,presidential election
4240,10858,watergate scandal
5565,10858,biography
6086,10858,government
6165,10858,historical figure
911,1408,exotic island
1454,1408,treasure
1969,1408,map
3799,1408,ship
5470,1408,scalp
12988,1408,pirate
383,524,poker
726,524,drug abuse
1228,524,1970s
2635,524,overdose
33625,524,illegal prostitution
420,4584,bowling
818,4584,based on novel
964,4584,servant
2755,4584,country life
7564,4584,jane austen
10911,4584,inheritance
11109,4584,military officer
15060,4584,period drama
156507,4584,rainstorm
156510,4584,horse and carriage
156512,4584,decorum
612,5,hotel
613,5,new year's eve
616,5,witch
622,5,bet
922,5,hotel room
2700,5,sperm
12670,5,los angeles
160488,5,hoodlum
187056,5,woman director
198129,5,episode film
409,9273,africa
1551,9273,indigenous
2526,9273,human animal relationship
5155,9273,bat
380,11517,brother brother relationship
1552,11517,subway
14512,11517,new york city
155735,11517,new york subway
156120,11517,train robbery
395,8012,gambling
416,8012,miami
818,8012,based on novel
8438,8012,job
9826,8012,murder
9935,8012,travel
10391,8012,mafia
10594,8012,money
11061,8012,debt
11578,8012,mobster
12094,8012,business
12396,8012,hollywood
13142,8012,gangster
14536,8012,crime
14819,8012,violence
14964,8012,drug
33879,8012,producer
159608,8012,con
796,1710,police brutality
2800,1710,psychology
4668,1710,police operation
5430,1710,police protection
10714,1710,serial killer
11268,1710,psychologist
13001,1710,cowardliness
271,9691,competition
441,9691,assassination
591,9691,cia
974,9691,bank
977,9691,cat
1666,9691,mexican standoff
2350,9691,seattle
2708,9691,hitman
3045,9691,mission of murder
3979,9691,hidden camera
9823,9691,rivalry
10084,9691,rescue
10950,9691,shootout
11148,9691,police chase
12355,9691,sniper rifle
18107,9691,silencer
33456,9691,double cross
167861,9691,caribbean
178929,9691,detroit michigan
7345,12665,dead animal
11325,12665,shot to death
18068,12665,teenage boy
18320,12665,held at gunpoint
41355,12665,teacher student relationship
163531,12665,albino
163533,12665,fainting
163534,12665,jacobs ladder
163540,12665,christ allegory
163543,12665,psionic power
163545,12665,healing power
163552,12665,looking pale
163553,12665,flickering light
163558,12665,extrasensory perception
30,451,individual
549,451,prostitute
567,451,alcohol
585,451,casino
699,451,love at first sight
725,451,lovesickness
887,451,film producer
888,451,screenwriter
922,451,hotel room
3737,451,dying and death
3927,451,rage and hate
6059,451,unsociability
7464,451,alcoholism
12670,451,los angeles
15237,451,alcohol abuse
155793,451,attempted suicide
497,16420,shakespeare
931,16420,jealousy
9713,16420,friends
17982,16420,moor
1228,9263,1970s
5248,9263,female friendship
10683,9263,coming of age
170521,9263,gynecologist
170533,9263,photocopier
170539,9263,truth or dare
187056,9263,woman director
1316,17015,captain
33384,17015,napoleonic wars
33386,17015,old flame
33388,17015,admiral
402,902,clone
1566,902,dream
2041,902,island
4484,902,eye
4565,902,dystopia
4995,902,aging
6054,902,friendship
10084,902,rescue
10103,902,children
14659,902,girl
157955,902,childhood
964,37557,servant
2311,37557,cabaret
2682,37557,shanghai
2992,37557,diva
6464,37557,uncle
11869,37557,mistress
41277,37557,umbrella
897,9909,rap music
3436,9909,karate
6270,9909,high school
6610,9909,naval officer
10508,9909,teacher
155582,9909,amusement park
222,63,schizophrenia
276,63,philadelphia
277,63,cassandra syndrom
278,63,stockholm syndrome
4379,63,time travel
4458,63,post-apocalyptic
4565,63,dystopia
14675,63,lethal virus
15149,63,monkey
162801,63,subterranean
3020,9598,sheep
4931,9598,pig
5608,9598,affection
8082,9598,piglet
11115,9598,heroism
11477,9598,talking animal
18013,9598,separation
33671,9598,german shepherd
158019,9598,grandson
206052,9598,talking pig
392,47018,england
437,47018,painter
8997,47018,conscientious objector
10183,47018,independent film
13065,47018,soldier
378,687,prison
570,687,rape
1952,687,socially deprived family
2060,687,penalty
2122,687,death penalty
2300,687,despair
2501,687,death row
2538,687,begnadigung
2726,687,therapist
2796,687,self-discovery
2885,687,prison cell
3012,687,court case
3437,687,death sentence
3440,687,doomed man
3441,687,sentence
3442,687,lethal injection
3446,687,forgiveness
3447,687,charity
3448,687,mercy petition
3927,687,rage and hate
6059,687,unsociability
6145,687,right and justice
6148,687,court
11263,687,electric chair
13001,687,cowardliness
13014,33689,orphan
204353,33689,identical twin
1525,9603,puberty
6270,9603,high school
6664,9603,make a match
7208,9603,spoiled child
10199,9603,gay interest
11933,9603,conflict
187056,9603,woman director
3644,34615,south africa
392,31174,england
497,31174,shakespeare
1930,31174,kidnapping
9826,31174,murder
13084,31174,king
10594,11443,money
11254,11443,loss of virginity
159640,11443,hiding in a dumpster
159643,11443,mercy killing
159660,11443,armored truck
159661,11443,crushed by a car
931,35196,jealousy
1279,35196,medicine
2098,35196,fountain
6148,35196,court
10329,35196,wealth
44448,35196,spaniel
44449,35196,gloves
779,9312,martial arts
1299,9312,monster
2041,9312,island
10292,9312,gore
10821,9312,sorcerer
12380,9312,tournament
14819,9312,violence
41645,9312,based on video game
188955,9312,hand to hand combat
596,577,adultery
1442,577,winter
1523,577,obsession
2136,577,television
6018,577,new hampshire
208477,577,narcissistic personality disorder
1334,11861,wedding vows
1459,11861,marriage proposal
2587,11861,married couple
5773,11861,monogamy
5999,11861,advice
6038,11861,marriage
9470,11861,quilt
9673,11861,love
33694,11861,family holiday
34094,11861,extramarital affair
164039,11861,grandmother
187056,11861,woman director
476,807,self-fulfilling prophecy
703,807,detective
1470,807,s.w.a.t.
2231,807,drug dealer
3597,807,evisceration
3857,807,lust and impulsiveness
3927,807,rage and hate
3932,807,pride and vanity
4138,807,immoderateness
4142,807,insomnia
5340,807,investigation
6125,807,pension
6149,807,police
10714,807,serial killer
1463,10530,culture clash
3591,10530,settler
3691,10530,forbidden love
4090,10530,colony
4344,10530,musical
4542,10530,gold rush
7376,10530,princess
9840,10530,romance
10322,10530,native american
10336,10530,animation
160977,10530,virginia
165086,10530,star crossed lovers
173808,10530,reference to pizarro
173811,10530,jamestown virginia
173815,10530,pug dog
173823,10530,cross cultural relationship
173824,10530,musket
173825,10530,animate tree
180217,10530,indian chief
185343,10530,based on myths or folklore
207941,10530,17th century
208426,10530,shamanism
225547,10530,songs
230456,10530,indians vs. settlers
234183,10530,animal sidekick
234184,10530,powhatan
234185,10530,land claim
1992,8391,professor
158718,8391,lgbt
187056,8391,woman director
3703,629,law
5493,629,relatives
14604,629,theft
15009,629,criminal
18023,629,criminal mastermind
18024,629,hungarian
18027,629,sibling
549,11448,prostitute
2393,11448,adoption
4130,11448,adoptive father
5885,11448,childlessness
6230,11448,looking for  birth parents
8018,11448,adoptive mother
10183,11448,independent film
33625,11448,illegal prostitution
208349,11448,child
10183,49133,independent film
6075,26441,sport
9963,26441,kids and family
13042,26441,soccer
187056,26441,woman director
567,97406,alcohol
2679,97406,artist
6027,97406,music
14964,97406,drug
33624,97406,band
2672,9089,baltimore
4543,9089,thanksgiving
7629,9089,family clan
155294,9089,family conflict
171760,9089,generations conflict
187056,9089,woman director
2041,11010,island
3344,11010,letter
4461,11010,postman
5420,11010,fisherman
5933,11010,poet
1990,11359,cupboard
6186,11359,games
6300,11359,puppet
33465,11359,parallel world
187065,11359,toy comes to life
570,17182,rape
1419,17182,gun
2801,17182,self-defense
204959,17182,grieving parents
1233,2054,composer
1310,2054,mentor
1635,2054,deaf-mute
4344,2054,musical
4488,2054,apprentice
5289,2054,private life
6027,2054,music
158558,2054,disabled
248,10607,date
398,10607,slang
898,10607,hip-hop
4438,10607,cousin
9755,10607,parody
10700,10607,hood
10726,10607,gang
11514,10607,social satire
12425,10607,racism
13142,10607,gangster
2041,19760,island
5918,19760,painting
9727,19760,thief
167868,19760,seasickness
4166,9536,biotope
4459,9536,vegetarian
6305,9536,pollution
2157,11525,hacker
4563,11525,virtual reality
6104,11525,computer
9725,11525,sword fight
128,4482,love triangle
2335,4482,southern france
2918,4482,estate agent
3190,4482,menage a trois
4580,4482,van
187056,4482,woman director
897,10634,rap music
970,10634,parent child relationship
4562,10634,rapper
8438,10634,job
246,755,dancing
380,755,brother brother relationship
459,755,sexual obsession
797,755,showdown
798,755,sheriff
1664,755,eroticism
2483,755,nudity
2492,755,bank robber
3133,755,vampire
3649,755,holy water
4063,755,siege
6593,755,stripper
10093,755,priest
14601,755,explosion
14687,755,extreme violence
15363,755,bank robbery
18072,755,preacher
18233,755,hostage situation
41380,755,crucifix
163795,755,recreational vehicle
167664,755,blood spurting
168152,755,convenience store
174878,755,female vampire
188711,755,mexican american border
191441,755,nightclub entertainer
227811,755,boa constrictor
258,11859,bomb
416,11859,miami
572,11859,sex
703,11859,detective
772,11859,handcuffs
818,11859,based on novel
1562,11859,hostage
1812,11859,fbi
1930,11859,kidnapping
2808,11859,russian
3278,11859,kgb
3713,11859,chase
4426,11859,sadism
4530,11859,parking garage
4735,11859,pizza
5430,11859,police protection
6259,11859,psychopath
9714,11859,remake
9844,11859,car crash
10410,11859,conspiracy
10562,11859,on the run
10718,11859,fugitive
10950,11859,shootout
12371,11859,gunfight
13125,11859,sadist
14967,11859,foot chase
15167,11859,police detective
15321,11859,police station
15483,11859,car chase
18320,11859,held at gunpoint
18525,11859,fbi agent
33456,11859,double cross
34117,11859,cult film
155555,11859,computer hacker
156650,11859,machine gun
156788,11859,swat team
156816,11859,grenade launcher
158247,11859,underwater scene
176802,11859,rogue agent
181145,11859,woman lawyer
188294,11859,damsel in distress
3616,28387,college
90,48750,paris
745,48750,nun
2792,48750,boxer
10909,48750,lawyer
11508,48750,jewish
2778,20927,florist
10235,20927,family relationships
10624,36929,bully
312,9102,man vs machine
10158,9102,alien planet
15354,9102,struggle for survival
6381,27526,loss of daughter
6440,27526,hit-and-run driving 
9748,27526,revenge
9937,27526,suspense
10183,27526,independent film
10614,27526,tragedy
1417,9623,jurors
1936,9623,blackmail
3012,9623,court case
5153,9623,son
11038,9623,trial
33519,9623,courtroom
1357,46785,fish
10594,46785,money
33648,46785,celebration
40846,46785,goldfish
494,400,father son relationship
801,400,bounty hunter
1422,400,boat
1587,400,way of life
1909,400,coffin
1977,400,denver
2022,400,godmother
2340,400,paranoia
2708,400,hitman
6054,400,friendship
6259,400,psychopath
9748,400,revenge
9826,400,murder
10183,400,independent film
10391,400,mafia
10738,400,diner
11221,400,blood
13142,400,gangster
14819,400,violence
33625,400,illegal prostitution
34094,400,extramarital affair
236,880,suicide
240,880,underdog
460,880,free love
490,880,philosophy
570,880,rape
791,880,mentally disabled
936,880,loss of mother
1842,880,village life
1956,880,world war ii
2383,880,feminism
3154,880,indian summer 
3371,880,family history
4129,880,widow
4402,880,peasant
5331,880,village
6009,880,mathematics
6089,880,freedom
6145,880,right and justice
9457,880,single
10180,880,homosexuality
10707,880,mother daughter relationship
11925,880,domestic violence
13160,880,university
187056,880,woman director
6984,146599,racial segregation
10235,146599,family relationships
11004,146599,rural setting
12532,146599,african american
4034,8447,class society
7579,8447,rich woman - poor man
14760,8447,scientist
182662,8447,naturalist
208526,8447,insect
2082,10534,sailing trip
2913,10534,diary
3180,10534,sailing
10349,10534,survival
10683,10534,coming of age
18068,10534,teenage boy
46962,10534,discipline
167836,10534,squall
167837,10534,sail
167843,10534,ship captain
167861,10534,caribbean
167863,10534,male bonding
167868,10534,seasickness
168683,10534,storm at sea
208992,10534,1960s
5306,17414,boss
5572,17414,fistfight
10624,17414,bully
14762,17414,orangutan
158039,17414,hotel manager
169078,13997,nitrous oxide
169079,13997,candid camera
169085,13997,double act
169086,13997,political satire
169097,13997,crooked politician
187056,13997,woman director
441,2086,assassination
477,2086,train station
6078,2086,politics
12670,2086,los angeles
964,9095,servant
1299,9095,monster
10124,9095,laboratory
156033,9095,jekyll and hyde
191009,9095,housemaid
207928,9095,19th century
3133,12158,vampire
3630,12158,half vampire
155808,9283,hometown
720,9208,helicopter
1261,9208,river
1316,9208,captain
1353,9208,underground
1666,9208,mexican standoff
1825,9208,countdown
3203,9208,pilot
5572,9208,fistfight
8122,9208,canyon
9052,9208,major
10085,9208,betrayal
12371,9208,gunfight
13008,9208,train
14601,9208,explosion
15263,9208,park ranger
18034,9208,desert
162365,9208,military
208547,9208,nuclear device
209476,9208,boxing
214472,9208,stealth aircraft
215861,9208,abandoned mine
219869,9208,humvee
14531,40154,play
185011,40154,hamlet
207317,40154,christmas
207716,40154,actor
90,406,paris
376,406,neo-nazi
379,406,skinhead
642,406,robbery
796,406,police brutality
898,406,hip-hop
1419,406,gun
1952,406,socially deprived family
1974,406,breakdance
1975,406,arabian
3925,406,boredom
9748,406,revenge
14632,406,suburb
14819,406,violence
15090,406,police officer
156052,406,unemployment
156702,406,capture
160910,406,xenophobia
2398,63076,narration
12396,63076,hollywood
13059,63076,prostitution
417,11062,corruption
1568,11062,undercover
