movieID,title,language,budget,revenue,releasedate
862,Toy Story,en,30000000.0,373554033.0,1995-10-30
8844,Jumanji,en,65000000.0,262797249.0,1995-12-15
15602,Grumpier Old Men,en,0.0,0.0,1995-12-22
31357,Waiting to Exhale,en,16000000.0,81452156.0,1995-12-22
11862,Father of the Bride Part II,en,0.0,76578911.0,1995-02-10
949,Heat,en,60000000.0,187436818.0,1995-12-15
11860,Sabrina,en,58000000.0,0.0,1995-12-15
45325,Tom and Huck,en,0.0,0.0,1995-12-22
9091,Sudden Death,en,35000000.0,64350171.0,1995-12-22
710,GoldenEye,en,58000000.0,352194034.0,1995-11-16
9087,The American President,en,62000000.0,107879496.0,1995-11-17
12110,Dracula: Dead and Loving It,en,0.0,0.0,1995-12-22
21032,Balto,en,0.0,11348324.0,1995-12-22
10858,Nixon,en,44000000.0,13681765.0,1995-12-22
1408,Cutthroat Island,en,98000000.0,10017322.0,1995-12-22
524,Casino,en,52000000.0,116112375.0,1995-11-22
4584,Sense and Sensibility,en,16500000.0,135000000.0,1995-12-13
5,Four Rooms,en,4000000.0,4300000.0,1995-12-09
9273,Ace Ventura: When Nature Calls,en,30000000.0,212385533.0,1995-11-10
11517,Money Train,en,60000000.0,35431113.0,1995-11-21
8012,Get Shorty,en,30250000.0,115101622.0,1995-10-20
1710,Copycat,en,0.0,0.0,1995-10-27
9691,Assassins,en,50000000.0,30303072.0,1995-10-06
12665,Powder,en,0.0,0.0,1995-10-27
451,Leaving Las Vegas,en,3600000.0,49800000.0,1995-10-27
16420,Othello,en,0.0,0.0,1995-12-15
9263,Now and Then,en,12000000.0,27400000.0,1995-10-20
17015,Persuasion,en,0.0,0.0,1995-09-27
902,The City of Lost Children,fr,18000000.0,1738611.0,1995-05-16
37557,Shanghai Triad,zh,0.0,0.0,1995-04-30
9909,Dangerous Minds,en,0.0,180000000.0,1995-08-11
63,Twelve Monkeys,en,29500000.0,168840000.0,1995-12-29
78802,Wings of Courage,fr,0.0,0.0,1996-09-18
9598,Babe,en,30000000.0,254134910.0,1995-07-18
47018,Carrington,en,0.0,0.0,1995-11-08
687,Dead Man Walking,en,11000000.0,39363635.0,1995-12-29
139405,Across the Sea of Time,en,0.0,0.0,1995-10-20
33689,It Takes Two,en,0.0,0.0,1995-11-17
9603,Clueless,en,12000000.0,0.0,1995-07-19
34615,"Cry, the Beloved Country",en,0.0,676525.0,1995-12-15
31174,Richard III,en,0.0,0.0,1995-12-29
11443,Dead Presidents,en,10000000.0,0.0,1995-10-06
35196,Restoration,en,19000000.0,0.0,1995-12-29
9312,Mortal Kombat,en,18000000.0,122195920.0,1995-08-18
577,To Die For,en,20000000.0,21284514.0,1995-05-20
11861,How To Make An American Quilt,en,10000000.0,23574130.0,1995-10-06
807,Se7en,en,33000000.0,327311859.0,1995-09-22
10530,Pocahontas,en,55000000.0,346079773.0,1995-06-14
8391,When Night Is Falling,en,0.0,0.0,1995-05-05
629,The Usual Suspects,en,6000000.0,23341568.0,1995-07-19
117164,Guardian Angel,en,0.0,0.0,1994-11-22
11448,Mighty Aphrodite,en,15000000.0,6700000.0,1995-09-13
49133,Lamerica,it,0.0,0.0,1994-01-01
26441,The Big Green,en,0.0,0.0,1995-09-29
97406,Georgia,en,0.0,0.0,1995-05-19
124057,Kids of the Round Table,en,0.0,0.0,1997-07-08
9089,Home for the Holidays,en,0.0,17519169.0,1995-11-02
11010,The Postman,it,0.0,0.0,1994-09-22
99040,The Confessional,fr,0.0,0.0,1995-09-29
11359,The Indian in the Cupboard,en,45000000.0,0.0,1995-07-14
17182,Eye for an Eye,en,20000000.0,0.0,1996-01-12
2054,Mr. Holland's Opus,en,0.0,106269971.0,1995-12-29
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,en,0.0,0.0,1996-01-12
19760,Two If by Sea,en,0.0,0.0,1996-01-12
9536,Bio-Dome,en,15000000.0,0.0,1996-01-12
11525,Lawnmower Man 2: Beyond Cyberspace,en,0.0,2409225.0,1996-01-12
40628,Two Bits,en,0.0,0.0,1995-10-22
4482,French Twist,fr,0.0,0.0,1995-02-08
10634,Friday,en,3500000.0,28215918.0,1995-04-26
755,From Dusk Till Dawn,en,19000000.0,25836616.0,1996-01-19
11859,Fair Game,en,50000000.0,11534477.0,1995-11-03
28387,Kicking and Screaming,en,0.0,718490.0,1995-10-06
48750,Les Miserables,fr,0.0,0.0,1995-03-22
20927,Bed of Roses,en,0.0,19030691.0,1996-01-26
36929,Big Bully,en,15000000.0,2042530.0,1996-01-26
9102,Screamers,en,20000000.0,5781885.0,1995-09-08
124626,Nico Icon,en,0.0,0.0,1995-02-18
27526,The Crossing Guard,en,0.0,0.0,1995-11-15
9623,The Juror,en,44000000.0,0.0,1996-02-02
46785,The White Balloon,fa,0.0,0.0,1995-01-01
400,Things to Do in Denver When You're Dead,en,8000000.0,529766.0,1995-12-01
880,Antonia's Line,nl,900000.0,0.0,1995-09-12
146599,Once Upon a Time... When We Were Colored,en,0.0,0.0,1996-01-26
188588,Last Summer in the Hamptons,en,0.0,0.0,1995-11-22
8447,Angels and Insects,en,0.0,0.0,1995-09-10
10534,White Squall,en,38000000.0,10300000.0,1996-02-02
17414,Dunston Checks In,en,16000000.0,0.0,1996-01-12
13997,Black Sheep,en,0.0,32.0,1996-02-01
2086,Nick of Time,en,8169363.0,8175346.0,1995-11-22
61548,The Journey of August King,en,0.0,0.0,1995-09-14
9095,Mary Reilly,en,47000000.0,12379402.0,1996-02-23
12158,Vampire in Brooklyn,en,14000000.0,19800000.0,1995-10-26
9283,Beautiful Girls,en,0.0,0.0,1996-02-09
9208,Broken Arrow,en,50000000.0,150270147.0,1996-02-09
40154,A Midwinter's Tale,en,0.0,0.0,1995-12-01
406,La Haine,fr,3000000.0,0.0,1995-05-31
45549,Shopping,en,0.0,0.0,1994-12-06
63076,Heidi Fleiss: Hollywood Madam,en,0.0,0.0,1995-12-27
11062,City Hall,en,0.0,0.0,1996-02-16
13685,Bottle Rocket,en,7000000.0,560069.0,1996-02-21
47475,Mr. Wrong,en,0.0,0.0,1996-02-16
2045,Unforgettable,en,18000000.0,0.0,1996-02-23
9614,Happy Gilmore,en,12000000.0,41205099.0,1996-02-16
688,The Bridges of Madison County,en,24000000.0,182016617.0,1995-05-28
11907,Nobody Loves Me,de,0.0,0.0,1994-11-07
10874,Muppet Treasure Island,en,0.0,34327391.0,1996-02-16
89333,Catwalk,en,0.0,0.0,1995-12-08
96357,Headless Body in Topless Bar,en,0.0,0.0,1995-05-20
197,Braveheart,en,72000000.0,210000000.0,1995-05-24
103,Taxi Driver,en,1300000.0,28262574.0,1976-02-07
33542,Rumble in the Bronx,cn,7500000.0,32392047.0,1995-01-30
43566,Before and After,en,35000000.0,0.0,1996-02-23
71754,Margaret's Museum,en,0.0,0.0,1995-09-13
43612,Happiness Is in the Field,en,13365000.0,0.0,1995-01-31
51352,Anne Frank Remembered,en,0.0,1.0,1995-06-08
16934,The Young Poisoner's Handbook,en,0.0,0.0,1995-01-20
10324,If Lucy Fell,en,0.0,0.0,1996-03-08
78406,Steal Big Steal Little,en,25000000.0,6278139.0,1995-09-29
55731,Race the Sun,en,0.0,0.0,1996-03-22
32119,The Boys of St. Vincent,en,0.0,0.0,1992-12-06
11066,Boomerang,en,40000000.0,70100000.0,1992-06-30
11104,Chungking Express,cn,0.0,0.0,1994-07-14
37975,The Star Maker,it,0.0,0.0,1995-09-21
2074,Flirting with Disaster,en,7000000.0,14702438.0,1996-03-22
27793,The Neverending Story III: Escape from Fantasia,en,17000000.0,0.0,1994-10-26
44284,The Silences of the Palace,ar,0.0,0.0,1994-09-30
290157,Jupiter's Wife,en,0.0,0.0,1995-01-01
110972,Pie in the Sky,en,0.0,0.0,1996-02-09
32622,Angela,en,0.0,0.0,1995-01-01
73067,Frankie Starlight,it,0.0,0.0,1995-11-22
11863,Jade,en,50000000.0,9851610.0,1995-10-13
55475,Nueba Yol,es,0.0,0.0,1995-08-16
