companyID,movieID,companyname
3,862,Pixar Animation Studios
559,8844,TriStar Pictures
2550,8844,Teitler Film
10201,8844,Interscope Communications
6194,15602,Warner Bros.
19464,15602,Lancaster Gate
306,31357,Twentieth Century Fox Film Corporation
5842,11862,Sandollar Productions
9195,11862,Touchstone Pictures
508,949,Regency Enterprises
675,949,Forward Pass
6194,949,Warner Bros.
4,11860,Paramount Pictures
258,11860,Scott Rudin Productions
932,11860,Mirage Enterprises
5842,11860,Sandollar Productions
14941,11860,Constellation Entertainment
55873,11860,Worldwide
58079,11860,Mont Blanc Entertainment GmbH
2,45325,Walt Disney Pictures
33,9091,Universal Pictures
21437,9091,Imperial Entertainment
23770,9091,Signature Entertainment
60,710,United Artists
7576,710,Eon Productions
5,9087,Columbia Pictures
97,9087,Castle Rock Entertainment
5,12110,Columbia Pictures
97,12110,Castle Rock Entertainment
6368,12110,Enigma Pictures
33,21032,Universal Pictures
56,21032,Amblin Entertainment
4105,21032,Amblimation
915,10858,Hollywood Pictures
1504,10858,Cinergi Pictures Entertainment
183,1408,Le Studio Canal+
415,1408,Laurence Mark Productions
8411,1408,Metro-Goldwyn-Mayer (MGM)
14723,1408,Carolco Pictures
33,524,Universal Pictures
10898,524,Légende Entreprises
11583,524,Syalis DA
11584,524,De Fina-Cappa
441,4584,Columbia Pictures Corporation
932,4584,Mirage Enterprises
14,5,Miramax Films
59,5,A Band Apart
5682,9273,O Entertainment
6194,9273,Warner Bros.
10210,9273,Morgan Creek Productions
5,11517,Columbia Pictures
216,8012,Jersey Films
8411,8012,Metro-Goldwyn-Mayer (MGM)
508,1710,Regency Enterprises
10104,1710,New Regency Pictures
1885,9691,Silver Pictures
5358,9691,Canal+
6194,9691,Warner Bros.
10308,9691,Dino De Laurentiis Company
23397,9691,Donner/Shuler-Donner Productions
25061,9691,Evansgideon/Lazar
175,12665,Caravan Pictures
915,12665,Hollywood Pictures
60,451,United Artists
15547,451,Intial Productions
5,16420,Columbia Pictures
97,16420,Castle Rock Entertainment
12,9263,New Line Cinema
288,17015,BBC Films
311,902,Procirep
590,902,Constellation Productions
591,902,France 3 Cinéma
592,902,Claudie Ossard Productions
850,902,Eurimages
851,902,MEDIA Programme of the European Union
1871,902,Cofimage 5
6639,902,Televisión Española (TVE)
7237,902,Tele München Fernseh Produktionsgesellschaft (TMG)
8170,902,Club d'Investissement Média
9335,902,Canal+ España
12009,902,Elías Querejeta Producciones Cinematográficas S.L.
18367,902,Centre National de la Cinématographie (CNC)
25020,902,Victoires Productions
25021,902,Constellation
25129,902,Lumière Pictures
47532,902,Canal+
68517,902,Studio Image
79437,902,Cofimage 4
79438,902,Ossane
79439,902,Phoenix Images
2588,37557,Ministère des Affaires Étrangères
4507,37557,Alpha Films
23647,37557,La Sept Cinéma
915,9909,Hollywood Pictures
10103,9909,Via Rosa Productions
10288,9909,Don Simpson/Jerry Bruckheimer Films
33,63,Universal Pictures
507,63,Atlas Entertainment
17031,63,Classico
70801,78802,Iwerks Entertainment
33,9598,Universal Pictures
2537,9598,Kennedy Miller Productions
694,47018,StudioCanal
874,47018,Cinéa
8363,47018,Euston Films
19316,47018,Freeway Films
30226,47018,European Co-production Fund
31080,47018,Polygram Filmed Entertainment
44821,47018,Orsans Productions
406,687,Havoc
1382,687,PolyGram Filmed Entertainment
10163,687,Working Title Films
53390,139405,Sony New Technologies
6130,33689,Dualstar Productions
6194,33689,Warner Bros.
11661,33689,Rysher Entertainment
89131,33689,Orr & Cruickshank
4,9603,Paramount Pictures
53009,34615,Miramax
85681,34615,Distant Horizon
89840,34615,Alpine Pty Limited
871,31174,British Screen
34237,31174,Mayfair Entertainment International
175,11443,Caravan Pictures
476,11443,Underworld Entertainment
915,11443,Hollywood Pictures
14,35196,Miramax Films
12,9312,New Line Cinema
4174,9312,Threshold Entertainment
364,577,The Rank Organisation
441,577,Columbia Pictures Corporation
33,11861,Universal Pictures
56,11861,Amblin Entertainment
12,807,New Line Cinema
4286,807,Juno Pix
65394,807,Cecchi Gori Pictures
2,10530,Walt Disney Pictures
10217,10530,Walt Disney Feature Animation
2480,8391,Alliance Communications Corporation
361,629,Blue Parrot Productions
9168,629,Bad Hat Harry Productions
14,11448,Miramax Films
1030,11448,Magnolia Pictures
2,26441,Walt Disney Pictures
175,26441,Caravan Pictures
14,97406,Miramax Films
